;Prosent;Prosent;Prosent;Prosent;
1991;2000;2018;2019;
Papiravis;84;77;30;27;
Fjernsyn;81;82;60;48;
Radio;71;57;50;48;
Lydmedier;43;50;51;55;
Ukeblad;21;17;5;4;
Bøker;24;20;24;25;
Tidsskrift;18;14;6;7;
Tegneserieblad;11;9;3;3;
Serier/film/video;10;10;37;43;
Internett;..;27;91;90;
